relation,query,answer,word1,word2
type_of_learning-algorithm,kmeans_clustering,unsupervised_learning,generative_model,semi_supervised_learning
type_of_learning-algorithm,kmeans_clustering,unsupervised_learning,q_learning,reinforcement_learning
type_of_algorithm-example,factorial,recursive_algorithm,binomial_coefficient,dynamic_programming
type_of_algorithm-example,factorial,recursive_algorithm,dijikstra_algorithm,greedy_algorithm
type_of_algorithm-example,factorial,recursive_algorithm,sequential_search,brute_force_algorithm
type_of_algorithm-example,factorial,recursive_algorithm,queens_problem,backtracking_algorithm
type_of_algorithm-example,factorial,recursive_algorithm,quick_sort,randomized_algorithm
math_area-subject,vector_space,linear_algebra,graph,discrete_mathematics
math_area-subject,vector_space,linear_algebra,continuity,topology
math_area-subject,vector_space,linear_algebra,continuous_change,calculus
math_area-subject,vector_space,linear_algebra,random_variable,probability_theory
math_area-subject,vector_space,linear_algebra,distribution,statistics
math_area-subject,vector_space,linear_algebra,algorithm,numerical_analysis
company-os,macintosh,apple,windows,microsoft
company-os,macintosh,apple,linux,linux_foundation
company-browser,yandex_browser,yandex,internet_explorer,microsoft
company-browser,yandex_browser,yandex,google_chrome,google
company-browser,yandex_browser,yandex,mozilla_firefox,mozilla_foundation
company-browser,yandex_browser,yandex,opera,opera_software_asa
library-principal_class,array,numpy,dataframe,pandas
library-principal_class,array,numpy,tensor,pytorch
library-principal_class,array,numpy,matplotlib,graph
task-ml_model,gan,image_generation,SVM,svm_classification
task-ml_model,gan,image_generation,linear_regression,regression_modelling
task-ml_model,gan,image_generation,gpt,text_generation
task-ml_model,gan,image_generation,seq2seq,machine_translation
task-ml_model,gan,image_generation,bert,sentiment_classification
task-ml_model,gan,image_generation,rnn,pos_tagging
task-ml_model,gan,image_generation,kmean,clusterisation
task-ml_model,gan,image_generation,cnn,image_recognition
task-ml_model,gan,image_generation,actor_critic,reinforcement_learning
