word1,word2
national_bank,central_bank
product,item
monopoly,dominance
credit,loan
deposit,warrant
inflation,consumer_price_inflation
brexit,withdrawing
cross_elasticity,XED
money,currency
labour_market,workforce
liquid_asset,cash
supply,product_supply
perfect_competition,free_market
tax,financial_charge
privatization,denationalization
recession,depression
unemployment,worklessness
venture_capital,investment
sanction,ratification
invoice,bill
risk,operational_risk
retail,trade
GDP,nominal_gdp
CPI,consumer_price_index
consumerism,materialism
tariff,tax
monetary_policy,fiscal_policy
monetarism,capitalism
stocks,stock_market
monarchy,monarch
primitivism,natural_state
feudalism,feudal_system
entrepreneurship,business
profit,income
communism,collectivism
poverty,absolute_poverty
productive_resource,capital
budget,planning
banking_cycle,bank
barter,exchange
marxism,marx
capital_gain,profit
commodity,product
corporation,company
crisis,depression
dividend,capital_gain
inequality,income_gap
production,labour
recovery,qrowth
arbitrage,price_gap
trade,world_trade_organization
balance_sheet,budget
beveridge_curve,UV_curve
competition_policy,antitrust_policy
deflation,price_decrease
division_of_labour,specialization
wage,salary
entrepreneur,businessman
investment,equity
flow,annual_income
great_depression,economic_downturn
industry,production
game_theory,decision_making
quota,limit
reserve,natural_resource
wealth,richness
deficit,scarcity
mortgage,loan
landlord,tenant
tax,fee
trademark,logotype
transaction,financial_operation
balance_of_payment,bop
Keynesianism,Keynes
debt,borrowing
FTE,full_time_equivalent
national_income_account,nias
arbitration,industrial_dispute
collective_bargaining,trade_union
fee,commision
costs,expenditure
duty,import_tax
funding,money
human_capital,workforce
insurance,financial_protection
mercantilism,commercialism
nationalization,deprivatisation
patent,copyright
pension,allowance
welfare,public_interest
redundancy,unemployment
sale,discount
share,dividend
shop,market
tariff,taxation
stagflation,stagnation
manufacturing,production
national_debt,budget_deficit
productivity,efficiency
acquisition,takeover
pareto_optimality,pareto_efficiency
cartel,oligopoly
opportunity_cost,economic_cost
dumping,predatory_pricing
private_sector,nonpublic_sector
bank_account,deposit
RPI,retail_price_index
tax_burden,tax_liability
asset,benefit
unemployment_rate,jobless_rate
balance_of_trade,bot
gnp,gross_national_product
consumption_goods,commodity
money,cash
precious_metal,noble_metal
government,authority
pension_fund,retirement_fund
investor,shareholder
