word1,word2
diabetes,mellitus
obesity,fat
gastritis,indigestion
disease,illness
cancer,tumor
HIV,human_immunodeficiency_viruses
prostate,reproductive_system
cough,sore_throat
dyspnea,breathlessness
hypotension,high_blood_preassure
drug,pill
aspirin,drug
cholesterolemia,hypercholesterolemia
nasopharyngitis,cold
abdomen,abdominal_cavity
lungs,diaphragm
ADA,adenosine_deaminase
AIDS,acquired_immunodeficiency_syndrome
ANC,absolute_neutrophil_count
Anemia,fatigue
diet,nutrition
anorexia,weight_loss
menstruation,ovulation
peritonitis,peritoneal_inflammation
microorganism,bacteria
insomnia,sleep_deprivation
anxiety,stress
calcium,ca
therapy,treatment
cyanide,hydrocyanic_acid
HCN,hydrogen_cyanide
vitamin,alimentary
dermatitis,eczema
ribonucleic_acid,RNA
dopamine,serotonin
ectoderm,mesoderm
fertility,pregnancy
fever,shivering
digestion,intestine
colon,anus
cholesterol,blood_sugar
gastroenteritis,inflammation
nausea,vomiting
virus,infection
DNA,deoxyribonucleic_acid
glaucoma,eye_disease
migraine,headache
hematoma,trauma
hemoglobin,oxyhemoglobin
hygiene,sanitation
ICD,implantable_cardioverterdefibrillator
keratin,protein
malaria,infection
measles,rubeola
melanoma,skin_cancer
metabolism,catabolism
muscle,fibrous_tissue
neuroma,glioma
nitrogen,liquid_nitrogen
orthopedist,orthopedy
cardiologist,cardiology
dermatologist,dermatology
neurotoxin,toxin
pancreatitis,pancreas
pandemic,plague
papilloma,benign_tumor
botulism,food_poisoning
tremor,tremble
penicillin,antibiotic
pleura,lung
psoriasis,irritation
dementia,cognitive_impairment
schizophrenia,paranoia
sexually_transmitted_disease,STD
hypersensivity,allergy
dermis,skin
surgery,operation
fetus,embryo
benazepril,lotensin
UAL,liposuction
RAST,radioallergosorbent_test
vaginitis,vulvovaginitis
vein,blood_vessel
vulva,clitoris
insulin,endocrine
paraprotein,protein
zygote,ovule
marijuana,cannabis
coronavirus,covid
cortisone,hydrocortisone
cortisol,aldosteron
cystitis,urocystitis
lactose,sugar
laryngitis,sore_throat
LSD,lysergic_acid_diethylamide
Lysine,lysine_acid
barotitis,otitis
bezoar,phytobezoar
birthmark,nevus
narcolepsy,hypersomnia
pesticide,chemical
WBC,white_blood_cells
cataract,eye_disease
hypertension,cardiovascular_disease
osteoporosis,bone_disease
dermatology,dermatologist
