word1,word2
cyanobacteria,blue_green_algae
chloroplast,photosynthesis
cell,cell_nucleus
dendrite,neuron
ecology,ecosystem
genetics,gene
cardiovascular_system,heart
isomer,stereoisomer
microbiology,microorganism
cytoplasm,cystol
embrio,zygote
toxin,neurotoxin
stoma,plant
tropism,neurotropism
parasitism,ectoparasitism
lactase,lactose
fauna,animal
flora,plant
acid,fatty_acid
apoplexia,bleeding
immune_system,antibody
cerebrum,cerebellum
chlamydia,chlamydia_trachomatis
excretion,excretory_system
fallopian_tube,reproductive_organ
fungi,mushroom
gamete,sex_cell
glucose,sugar
habitat,environment
lipid,fat
medusa,jellyfish
ph,acidity
alcohol,hydroxyl
atom,particle
catalyst,chemical_reaction
chlorine,chlorination
dialysis,colloid
hagfish,agnatha
emulsion,liquid_system
hydrocarbon,hydrogen
ion,electric_charge
manometer,pressure
ozone,oxygen
soda,sodium_carbonate
oxide,acid_anhydride
amino_acid,carboxyl
anion,ion
austenite,iron
bronze,copper
cathode,electrode
deflagration,combustion
dry_ice,carbon_dioxide
electrode,electrical_cell
enediol,alkene
nucleoprotein,protein
kinetic_energy,motion
neon,gas
cyclotron,particle_accelerator
doppler_effect,wave_frequency
electricity,charged_particle
gamma_ray,radiation
hertz,frequency
kelvin,thermodynamic_temperature
pascal,pressure
volt,electric_potential
black_hole,singularity
entrophy,system_disorder
event_horizon,black_hole
galaxy,universe
relativity_theory,einstein
magnetic_field,electromagnetic_wave
photon,light
pulsar,neutron_star
quark,atomic_mass
string_theory,quantum_gravity
supernova,massive_star
wormhole,space_time
ampere,electric_current
cathode,cathode_ray
kilogram,kilo
boson,photon
supersymmetry,superpartner
thermodynamic,applied_thermodynamic
dispertion,light
microscope,lens
agriculture,commercial_agriculture
anemometer,wind_gauge
basalt,rock
magma,lava
cartogram,map
corrasion,erosion
greenhouse_effect,global_warming
seismograph,seismic_wave
solar_power,solar_cel
taiga,forest
urbanization,urban_sprawl
population_distribution,demography
hydrological_cycle,water_circulation
hurricane,cyclone
glacier,ice
earthquake,earth_tremor
chimpanzee,primate
